feature,n,eta2_group_rank,anova_p_exploratory,fast_minus_slow_mean_rank,care_minus_neut_mean_rank,nerv_minus_neut_mean_rank
imu_gyr_mean,786,0.7107075820970205,1.2502376275203456e-208,0.79298142881044,-0.059113642678521816,0.5999845344880916
imu_dacc_mean,785,0.7037728559331797,2.3646596512665504e-204,0.7791199598460766,-0.03354811598263063,0.6340246374551692
imu_acc_energy,786,0.6809115795910551,5.0536451364618094e-192,0.7667475322067927,-0.022228396776882486,0.6274358181255799
imu_acc_std,786,0.6809115795910551,5.0536451364618094e-192,0.7667475322067927,-0.022228396776882486,0.6274358181255799
duration_s,795,0.6768609037356305,4.340829816909943e-192,-0.7646657459471902,0.03266178266178266,-0.6195526695526696
raw_duration_s,795,0.6768609037356305,4.340829816909943e-192,-0.7646657459471902,0.03266178266178266,-0.6195526695526696
imu_gyr_energy,786,0.6696366510373457,3.849809511586632e-186,0.7728877363225699,-0.03820505696026677,0.5798793690071141
dino_path,809,0.6538795805543381,1.5513717016627764e-183,-0.7507343018178931,0.03499278499278491,-0.6021825396825398
dino_straight,809,0.4992008154861548,3.710500749183194e-119,0.6716440422322776,-0.0540141676505313,0.45535714285714285
raw_speed_mean,795,0.46243235282776035,6.0967748025103905e-105,0.6249630068067475,-0.0030525030525030417,0.5326118326118326
raw_ankle_speed_mean,795,0.4611849429862244,1.518939537472828e-104,0.6392999243694716,-0.009768009768009789,0.4906204906204906
raw_wrist_speed_mean,795,0.45962621735873344,4.738317469666722e-104,0.6114152773667423,0.008547008547008572,0.5666666666666667
sk_vankle_mean,795,0.416202292445319,7.801487936574866e-91,0.6004488507447963,-0.014652014652014655,0.47128427128427125
raw_acc_mean,795,0.415048598393048,1.696885273162677e-90,0.5922774653908125,0.03449328449328448,0.5172438672438672
dino_cos_mean,809,0.40782509536510136,5.523832207549194e-90,-0.5948162260855758,0.05385019021382664,-0.45138888888888884
sk_v_mean,795,0.40202088993940993,9.875224207429094e-87,0.5879040478774127,0.03418803418803423,0.47575757575757577
dino_v_mean,809,0.39782016013309,4.5347900587519215e-87,0.5880288957688338,-0.06575495211858845,0.439484126984127
sk_vwrist_mean,795,0.39589448823242485,5.451301415153543e-85,0.5836046167505179,0.03510378510378509,0.4911255411255411
raw_hip_speed_mean,795,0.39441079453425243,1.431146640995166e-84,0.5851090066094505,-0.010683760683760701,0.447979797979798
raw_speed_p90,795,0.38642003275803793,2.4865983819793718e-82,0.5606688369340042,0.03968253968253971,0.5507936507936508
raw_jerk_mean,795,0.3715163282421877,3.130790597207578e-78,0.5603811120975963,0.03540903540903545,0.49624819624819627
sk_a_mean,795,0.3701107271177901,7.537948971116346e-78,0.5475485843938048,0.03357753357753357,0.5018759018759018
dino_v_p90,809,0.35820848647344955,5.4168075885786053e-76,0.5564023180122252,-0.01715203987931263,0.44543650793650796
sk_vmax_mean,795,0.3577955499598395,1.5284520778625919e-74,0.5522097267436126,0.06868131868131866,0.48997113997113995
sk_jerk_mean,795,0.3345525943629684,1.7958140029185598e-68,0.5166551576732104,-0.0073260073260073,0.46897546897546905
dino_cad_pow,809,0.31867874169284743,1.313517424365891e-65,0.5134635230610463,-0.07369146005509641,0.4226190476190476
sk_v_iqr,795,0.31754599131500133,3.6378193721924516e-64,0.5131449146690341,0.048229548229548225,0.4780663780663781
rad_v_mean,793,0.28832315611462034,7.221362390503605e-57,0.5150132275132275,-0.01439332795264997,0.36088649296196473
sk_v_p90,795,0.2807282086842408,3.322984401095859e-55,0.4980927953700963,-0.012210012210012167,0.3759018759018759
rad_v_p90,793,0.22974498712817515,1.974785469455128e-43,0.34490740740740744,-0.007230293247242392,0.20275531596286317
sk_cad_pow,795,0.22524936402949414,1.4896404840579833e-42,0.43917496958337443,-0.06379731379731379,0.34249639249639247
sk_cad_hz,795,0.17415534667850216,1.0438892757891878e-31,0.4022228798789912,0.022893772893772923,0.2685425685425685
dino_acc_mean,809,0.1625231440459174,7.191332764982242e-30,0.37084226403111853,0.02102190738554377,0.3323412698412699
dino_v_iqr,809,0.15321434574799583,5.773826236308933e-28,0.37135032150512026,-0.015184310638856113,0.26388888888888884
raw_speed_cv,795,0.15125962661128284,4.462714014998438e-27,-0.34971720758935915,-0.03785103785103783,-0.3281385281385282
dino_cad_hz,809,0.147643611200105,7.770118968193891e-27,0.352790346907994,-0.027908959727141525,0.2807539682539683
raw_cad_peak_frac,793,0.12265593854423895,2.0046402265273318e-21,0.3316905615292712,-0.0747863247863248,0.20050505050505052
raw_hip_path,795,0.0977400152500531,8.990742301344952e-17,-0.29717865246128045,0.02503052503052494,-0.2021645021645022
sk_hip_path,795,0.0977400152500531,8.990742301344952e-17,-0.29717865246128045,0.02503052503052494,-0.2021645021645022
raw_hip_efficiency,795,0.05841403132794652,1.1382334785103312e-09,0.2489395284600967,0.018925518925518914,0.06810966810966812
raw_pose_amplitude,795,0.028363568412454642,0.00014141174766692106,0.145794284962678,-0.051892551892551875,0.12611832611832613
raw_longest_low_motion_s,795,0.024108901377039405,0.0006849772191918544,-0.15586465423695367,0.03815628815628813,-0.0005772005772005651
raw_cad_hz,793,0.02334849323896027,0.0009246612533593714,0.10663082437275989,0.0570818070818071,0.16399711399711403
raw_low_motion_frac,795,0.008919982249883211,0.13134353366207088,-0.0842211699713919,0.050824175824175755,0.01504329004328997
raw_wrist_ankle_ratio,795,0.007867931379259027,0.18136786629246418,-0.08709019762585907,-0.007936507936507908,-0.05339105339105338
sk_spec_cent,795,0.006781079613223281,0.25028947943183544,0.05511985794613794,0.05982905982905984,0.101010101010101
dino_spec_cent,809,0.0024064924588094775,0.7468746363094739,-0.021330475510042135,0.019513314967860462,0.0813492063492064
